Labogene Datalogger;;;Date: 7/10-2020;;Time: 09:15
No data...
No data...
No data...
No data...
No data...
No data...
No data...
No data...
No data...
No data...
;;Graf 1;Graf 2;Graf 3;Graf 4;Graf 5;Graf 6;Graf 7;Graf 8;Graf 9;Graf 10;Graf 11;Graf 12;Graf 13;Graf 14;Graf 15;Dig 1;Dig 2;Dig 3;Dig 4;Dig 5;Dig 6;Dig 7;Dig 8;Dig 9;Dig 10;Dig 11;Dig 12;Dig 13;Dig 14;Dig 15;Dig 16
LOG nr;Time;Shelf1;Shelf2;Shelf3;Shelf4;Shelf5;Shelf6;Shelf7;Shelf8;Ice condensor;Product;Actual pressure;Time;-;AutoStep;Configuration;Pressostat1;Pressostat2;Release valve;Vacuum pump;Cool only;Pressostat1 lock;Pressostat2 lock;Wait for low temperature;Manual MODE;Auto MODE;De-ice MODE;Release MODE;Pressure regulation;Vacuum valve;Compressor2;Compressor1
0;12:58-6/10;-15,7;83,0;-18,7;83,0;-20,8;83,0;83,0;83,0;-98,6;-42,0;20871;0;3335;5;8135;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1
1;12:59-6/10;-18,8;83,0;-21,4;83,0;-23,2;83,0;83,0;83,0;-98,8;-38,0;20553;0;3257;6;8135;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1
2;12:59-6/10;-20,4;83,0;-23,0;83,0;-24,9;83,0;83,0;83,0;-99,0;-36,0;20387;0;3196;6;8135;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1
3;13:00-6/10;-21,9;83,0;-24,1;83,0;-26,0;83,0;83,0;83,0;-99,0;-34,0;20236;0;3112;6;8135;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1
4;13:00-6/10;-22,7;83,0;-25,0;83,0;-26,7;83,0;83,0;83,0;-99,3;-32,0;20140;0;3022;6;8135;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1
5;13:01-6/10;-23,1;83,0;-25,5;83,0;-27,3;83,0;83,0;83,0;-99,3;-31,0;20085;0;2936;6;8135;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1
6;13:02-6/10;-23,4;83,0;-25,8;83,0;-27,6;83,0;83,0;83,0;-99,4;-30,0;20057;0;2868;6;8135;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1
7;13:02-6/10;-23,5;83,0;-26,0;83,0;-27,8;83,0;83,0;83,0;-99,3;-29,0;20035;0;2786;6;8135;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1
8;13:03-6/10;-23,4;83,0;-26,1;83,0;-27,9;83,0;83,0;83,0;-99,3;-28,0;20022;0;2711;6;8135;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1
9;13:03-6/10;-23,2;83,0;-26,1;83,0;-27,8;83,0;83,0;83,0;-99,4;-27,0;14470;0;2632;6;8135;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1
10;13:04-6/10;-23,1;83,0;-25,9;83,0;-27,8;83,0;83,0;83,0;-99,6;-27,0;8816;0;2547;6;8135;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;1
